as_of,fund_name,cusip,ticker,record_date,ex_dividend_date,payable_date,income_dividends,short_term_capital_gain,total_capital_gain_distribution
2025-12-31,Janus Henderson Adaptive Risk Managed U.S. Equity Fund,47103A690,JRSSX,12/8/2025,12/9/2025,12/9/2025,0.02380045,0.10922852,1.04456
2025-12-31,Janus Henderson Global Allocation Fund – Growth,47103A807,JGCSX,12/29/2025,12/30/2025,12/30/2025,0.03314306,0.0501598,0.70911
2025-12-31,Janus Henderson Global Allocation Fund – Moderate,47103A856,JMOSX,12/29/2025,12/30/2025,12/30/2025,0.20044516,0.04132569,0.49832
2025-12-31,Janus Henderson Small Cap Value Fund,47103C167,JISCX,12/8/2025,12/9/2025,12/9/2025,0.00921254,,0.83836
2025-12-31,Janus Henderson Mid Cap Value Fund,47103C225,JMVIX,12/8/2025,12/9/2025,12/9/2025,0.0626741,,1.35781
2025-12-31,Janus Henderson Global Research Fund,47103C274,JWGRX,12/4/2025,12/5/2025,12/5/2025,0.3482766,,9.14685
2025-12-31,Janus Henderson Triton Fund,47103C332,JGMIX,12/4/2025,12/5/2025,12/5/2025,,0.03070995,2.93275
2025-12-31,Janus Henderson Overseas Fund,47103C449,JIGRX,12/4/2025,12/5/2025,12/5/2025,0.54875963,,
2025-12-31,Janus Henderson Global Select Fund,47103C498,JORIX,12/4/2025,12/5/2025,12/5/2025,0.04498031,,1.96978
2025-12-31,Janus Henderson Enterprise Fund,47103C779,JGRTX,12/4/2025,12/5/2025,12/5/2025,,0.26481705,10.10415
2025-12-31,Janus Henderson Contrarian Fund,47103C837,JCNIX,12/4/2025,12/5/2025,12/5/2025,,,2.91191
2025-12-31,Janus Henderson Small-Mid Cap Value Fund,47103E189,JSVSX,12/8/2025,12/9/2025,12/9/2025,0.02674916,,1.35946
2025-12-31,Janus Henderson Venture Fund,47103E387,JVTSX,12/4/2025,12/5/2025,12/5/2025,,,4.73234
2025-12-31,Janus Henderson European Focus Fund,47103X567,HFESX,12/4/2025,12/5/2025,12/5/2025,0.66387856,,
2025-12-31,Janus Henderson Global Sustainable Equity Fund,47103Y557,JESSX,12/4/2025,12/5/2025,12/5/2025,0.01799798,,0.23327
2025-12-31,Janus Henderson Global Research Fund,471023309,JAWWX,12/4/2025,12/5/2025,12/5/2025,0.59574473,,9.14685
2025-12-31,Janus Henderson Global Allocation Fund – Conservative,471023499,JSPCX,12/29/2025,12/30/2025,12/30/2025,0.2890381,,
2025-12-31,Janus Henderson Venture Fund,471023507,JAVTX,12/4/2025,12/5/2025,12/5/2025,,,4.73234
2025-12-31,Janus Henderson Global Allocation Fund – Moderate,471023515,JSPMX,12/29/2025,12/30/2025,12/30/2025,0.24057493,0.04132569,0.49832
2025-12-31,Janus Henderson Global Allocation Fund – Growth,471023523,JSPGX,12/29/2025,12/30/2025,12/30/2025,0.19124103,0.0501598,0.70911
2025-12-31,Janus Henderson Triton Fund,471023549,JATTX,12/4/2025,12/5/2025,12/5/2025,,0.03070995,2.93275
2025-12-31,Janus Henderson Small Cap Value Fund,471023572,JSCVX,12/8/2025,12/9/2025,12/9/2025,0.09464281,,0.83836
2025-12-31,Janus Henderson Mid Cap Value Fund,471023598,JMCVX,12/8/2025,12/9/2025,12/9/2025,0.10862232,,1.35781
2025-12-31,Janus Henderson Global Select Fund,471023648,JORNX,12/4/2025,12/5/2025,12/5/2025,0.08863693,,1.96978
2025-12-31,Janus Henderson Contrarian Fund,471023655,JSVAX,12/4/2025,12/5/2025,12/5/2025,0.04300352,,2.91191
2025-12-31,Janus Henderson Global Technology and Innovation Fund,471023663,JAGTX,12/4/2025,12/5/2025,12/5/2025,,0.33768225,8.89121
2025-12-31,Janus Henderson Global Life Sciences Fund,471023671,JAGLX,12/4/2025,12/5/2025,12/5/2025,0.31010662,,3.33123
2025-12-31,Janus Henderson Enterprise Fund,471023804,JAENX,12/4/2025,12/5/2025,12/5/2025,0.12386756,0.26481705,10.10415
2025-12-31,Janus Henderson Overseas Fund,471023846,JAOSX,12/4/2025,12/5/2025,12/5/2025,0.68194346,,
2025-12-31,Janus Henderson Research Fund,471023853,JAMRX,12/4/2025,12/5/2025,12/5/2025,,0.08401378,10.63544
2025-12-31,Janus Henderson Forty Fund,47103A625,JACTX,12/4/2025,12/5/2025,12/5/2025,,,6.96694
2025-12-31,Janus Henderson Adaptive Risk Managed U.S. Equity Fund,47103A682,JRSTX,12/8/2025,12/9/2025,12/9/2025,0.0602148,0.10922852,1.04456
2025-12-31,Janus Henderson Small-Mid Cap Value Fund,47103E171,JSVTX,12/8/2025,12/9/2025,12/9/2025,0.03323178,,1.35946
2025-12-31,Janus Henderson European Focus Fund,47103X559,HFETX,12/4/2025,12/5/2025,12/5/2025,0.75929092,,
2025-12-31,Janus Henderson Global Sustainable Equity Fund,47103Y540,JETTX,12/4/2025,12/5/2025,12/5/2025,0.00084369,,0.23327
